country,Year,CancerRate,GDPpercap,Population,continent
Sweden,2013,1.317471266,43475.80134,9545823,Europe
Switzerland,2013,1.276055086,56535.74005,7761820,Europe
Tanzania,2013,0.255808654,2316.44306,49153002,Africa
Thailand,2013,0.347552467,14771.46675,70243267,Asia
Togo,2013,0.194269025,1275.195451,6412560,Africa
Trinidad and Tobago,2013,0.804740269,31405.44627,1355342,Americas
Tunisia,2013,0.341473121,10579.12288,10813680,Africa
Turkey,2013,0.389464629,21650.75677,75359032,Europe
Uganda,2013,0.360608466,1610.810913,36759274,Africa
United Kingdom,2013,1.251900105,37398.79722,63177406,Europe
United States,2013,1.674452264,51003.68599,318497630,Americas
Uruguay,2013,0.800710879,19270.5761,3403117,Americas
Venezuela,2013,0.692208128,17665.24,30340637,Americas
Vietnam,2013,0.302329342,5024.438902,90656550,Asia
Zambia,2013,0.315776924,3576.680691,14314515,Africa
Zimbabwe,2013,0.400513025,1929.765001,13327925,Africa
